Token memo,Alert timestamp (UTC),Source IP,User Agent,Date of test (UTC),Alert triggered after initial testing?
grok-excel-20260424-01-test01-02P-0,2026-04-24 9:43:46,8.228.64.29,LibreOffice 26.2.3.1 denylistedbackend/8.19.0-DEV OpenSSL/3.6.1,2026-04-24 9:43,No
,2026-04-24 9:43:46,8.228.64.29,LibreOffice 26.2.3.1 denylistedbackend/8.19.0-DEV OpenSSL/3.6.1,,No
grok-excel-20260424-01-test02-02P-0,2026-04-24 10:18:57,8.228.64.10,LibreOffice 26.2.3.1 denylistedbackend/8.19.0-DEV OpenSSL/3.6.1,2026-04-24 10:18,No
,2026-04-24 10:18:57,8.228.64.10,LibreOffice 26.2.3.1 denylistedbackend/8.19.0-DEV OpenSSL/3.6.1,,No
grok-url-20260424-01-test01-01-0,2026-04-24 8:44:18,45.41.134.49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",2026-04-24 8:44,No
,2026-04-24 8:44:18,108.165.151.240,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 8:44:18,198.232.2.217,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 8:44:19,82.153.250.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 8:44:19,138.226.104.198,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 8:44:19,84.37.194.95,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 8:44:19,206.195.138.28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 8:44:21,138.117.60.77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 8:44:26,207.174.9.109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,No
,2026-04-24 9:08:28,136.0.63.164,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,Yes
,2026-04-24 21:55:46,185.211.98.78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 12:51:04,45.145.137.133,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 23:24:55,23.26.246.48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 23:25:03,50.114.121.101,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-26 11:31:18,85.254.140.128,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
grok-url-20260424-01-test04-02P-0-txt,2026-04-24 10:25:14,154.30.72.46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",2026-04-24 10:25,No
,2026-04-24 10:25:14,85.254.42.204,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 10:25:15,170.247.86.203,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,No
,2026-04-24 10:25:15,45.130.67.31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 10:25:16,23.230.234.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,No
,2026-04-24 10:25:17,66.9.160.158,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",,No
,2026-04-24 10:25:44,213.201.163.228,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,No
,2026-04-24 13:10:23,45.67.140.128,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,Yes
,2026-04-25 0:54:27,85.254.115.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 7:33:52,45.41.136.172,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-25 19:57:38,172.111.13.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
,2026-04-26 13:19:41,88.216.35.61,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,Yes
