first_party_name,first_party,device,third_party,third_party_name,Tracking/Other,Category,consent,subscription
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,auth-cdn.oaistatic.com,First-party,Cloud/CDN,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,auth-cdn.oaistatic.com,First-party,Cloud/CDN,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,auth.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,auth.openai.com.cdn.cloudflare.net,First-party,Cloud/CDN,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,browser-intake-datadoghq.com,Datadog,Tracking,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,browser-intake-datadoghq.com,Datadog,Tracking,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,cdn.auth0.com,Auth0 Inc.,Tracking,Authentication,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,cdn.auth0.com,Auth0 Inc.,Tracking,Authentication,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,play.google.com,Other,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,sentinel.openai.com.cdn.cloudflare.net,First-party,,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,sentinel.openai.com.cdn.cloudflare.net,First-party,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,t0.gstatic.com,Google Cloud,,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,t0.gstatic.com,Google Cloud,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,t1.gstatic.com,Google Cloud,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,t2.gstatic.com,Google Cloud,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,t3.gstatic.com,Google Cloud,,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,t3.gstatic.com,Google Cloud,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.googletagmanager.com,Google Tag Manager,Tracking,Analytics and Advertising,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,www.gstatic.com,Google Cloud,,,Accept All,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.gstatic.com,Google Cloud,,,Accept All,Free
ChatGPT,"chatgpt.com, openai.com",browser,www.gstatic.com,Google Cloud,,,Accept All,Premium
ChatGPT,"chatgpt.com, openai.com",browser,accounts.google.com,Google Accounts,Tracking,Authentication,Ignore Consent,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,fonts.gstatic.com,Google API,,,Ignore Consent,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,ogads-pa.clients6.google.com,Google Ads,Tracking,Analytics and Advertising,Ignore Consent,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,openaiassets.azureedge.net,Microsoft Azure,Cloud/CDN,,Ignore Consent,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,play.google.com,Other,,,Ignore Consent,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.google.com,Google Search,Tracking,Analytics and Advertising,Ignore Consent,No Auth
ChatGPT,"chatgpt.com, openai.com",browser,www.googleadservices.com,Google Ads,Tracking,Analytics and Advertising,Ignore Consent,No Auth
