LLM,DOMAINS,ThirdParty_Domain,ThirdParty_CNAME,ACCOUNT,CHAT,PRIVACY,CONSENT,INTERACTION,Organization,Tracking
GROK,"grok.com, x.ai",ad.doubleclick.net,,Free,Normal,Default,Accept All,Normal,Google DoubleClick,Tracking
GROK,"grok.com, x.ai",ad.doubleclick.net,,Free,Normal,Default,Accept All,Share,Google DoubleClick,Tracking
GROK,"grok.com, x.ai",analytics.twitter.com,s.twitter.com,Free,Normal,Default,Accept All,Normal,Twitter Analytics,Tracking
GROK,"grok.com, x.ai",analytics.twitter.com,s.twitter.com,Free,Normal,Default,Accept All,Share,Twitter Analytics,Tracking
GROK,"grok.com, x.ai",auth.grokipedia.com,,Free,Normal,Default,Accept All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",auth.grokipedia.com,,Free,Normal,Default,Ignore Consent,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",auth.grokipedia.com,,Free,Normal,Default,Reject All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",auth.grokusercontent.com,,Free,Normal,Default,Accept All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",auth.grokusercontent.com,,Free,Normal,Default,Ignore Consent,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",auth.grokusercontent.com,,Free,Normal,Default,Reject All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",cdn.cookielaw.org,,Free,Normal,Default,Accept All,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",cdn.cookielaw.org,,Free,Normal,Default,Accept All,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",cdn.cookielaw.org,,Free,Normal,Default,Ignore Consent,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",cdn.cookielaw.org,,Free,Normal,Default,Ignore Consent,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",cdn.cookielaw.org,,Free,Normal,Default,Reject All,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",cdn.cookielaw.org,,Free,Normal,Default,Reject All,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",challenges.cloudflare.com,,Free,Normal,Default,Accept All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",challenges.cloudflare.com,,Free,Normal,Default,Ignore Consent,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",challenges.cloudflare.com,,Free,Normal,Default,Reject All,Normal,First-Party,First-Party
GROK,"grok.com, x.ai",geolocation.onetrust.com,,Free,Normal,Default,Accept All,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",geolocation.onetrust.com,,Free,Normal,Default,Accept All,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",geolocation.onetrust.com,,Free,Normal,Default,Ignore Consent,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",geolocation.onetrust.com,,Free,Normal,Default,Ignore Consent,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",geolocation.onetrust.com,,Free,Normal,Default,Reject All,Normal,OneTrust,Tracking
GROK,"grok.com, x.ai",geolocation.onetrust.com,,Free,Normal,Default,Reject All,Share,OneTrust,Tracking
GROK,"grok.com, x.ai",googleads.g.doubleclick.net,,Free,Normal,Default,Accept All,Normal,Google DoubleClick,Tracking
GROK,"grok.com, x.ai",googleads.g.doubleclick.net,,Free,Normal,Default,Accept All,Share,Google DoubleClick,Tracking
