LLM,ThirdParty_Domain,ThirdParty_CNAME,Organization,Tracking
GROK,ad.doubleclick.net,,Google DoubleClick,Tracking
GROK,analytics.twitter.com,s.twitter.com,Twitter Analytics,Tracking
GROK,auth.grokipedia.com,,First-Party,First-Party
GROK,auth.grokusercontent.com,,First-Party,First-Party
GROK,cdn.cookielaw.org,,OneTrust,Tracking
GROK,challenges.cloudflare.com,,First-Party,First-Party
GROK,geolocation.onetrust.com,,OneTrust,Tracking
GROK,googleads.g.doubleclick.net,,Google DoubleClick,Tracking
GROK,hagen.challenges.cloudflare.com,,First-Party,First-Party
GROK,js.stripe.com,stripecdn.map.fastly.net,Stripe,Tracking
GROK,m.stripe.com,,Stripe,Tracking
GROK,m.stripe.network,prod-m-tree.stripe.network,Stripe,Tracking
GROK,privacyportal.onetrust.com,,OneTrust,Tracking
GROK,sgtm-prod-985009374134.us-central1.run.app,,Google Tag Manager,Tracking
GROK,stapecdn.com,,Stape,Tracking
GROK,static.ads-twitter.com,platform.twitter.map.fastly.net,Twitter Ads,Tracking
GROK,static.cloudflareinsights.com,,First-Party,First-Party
GROK,t.co,,First-Party,First-Party
GROK,t0.gstatic.com,,Google Cloud,Cloud
GROK,t1.gstatic.com,,Google Cloud,Cloud
GROK,t2.gstatic.com,,Google Cloud,Cloud
GROK,t3.gstatic.com,,Google Cloud,Cloud
GROK,wa.appsflyersdk.com,d3qc5sduy8cmwp.cloudfront.net,AppsFlyer,Tracking
GROK,wa.onelink.me,,AppsFlyer,Tracking
GROK,websdk.appsflyersdk.com,dbo0t3pcsxcel.cloudfront.net,AppsFlyer,Tracking
GROK,www.google.com,,Google Search,Tracking
GROK,www.google.pt,,Google Search,Tracking
GROK,www.googleadservices.com,,Google Ads,Tracking
GROK,www.googletagmanager.com,,Google Tag Manager,Tracking
